# Manually converted from free_period.txt captured by Tek scope
# s?\([\-0-9\.]\+\)\s\([\-0-9\.]\+\)?\1,\2?g
9.28,-2.24
9.282,-2.248
9.284,-2.248
9.286,-2.248
9.288,-2.248
9.29,-2.248
9.292,-2.248
9.294,-2.248
9.296,-2.248
9.298,-2.248
9.3,-2.256
9.302,-2.248
9.304,-2.256
9.306,-2.256
9.308,-2.256
9.31,-2.256
9.312,-2.256
9.314,-2.256
9.316,-2.256
9.318,-2.256
9.32,-2.264
9.322,-2.264
9.324,-2.264
9.326,-2.256
9.328,-2.264
9.33,-2.256
9.332,-2.264
9.334,-2.264
9.336,-2.264
9.338,-2.264
9.34,-2.264
9.342,-2.264
9.344,-2.264
9.346,-2.264
9.348,-2.264
9.35,-2.264
9.352,-2.264
9.354,-2.272
9.356,-2.272
9.358,-2.272
9.36,-2.272
9.362,-2.272
9.364,-2.272
9.366,-2.272
9.368,-2.272
9.37,-2.272
9.372,-2.272
9.374,-2.28
9.376,-2.28
9.378,-2.28
9.38,-2.28
9.382,-2.28
9.384,-2.28
9.386,-2.288
9.388,-2.28
9.39,-2.288
9.392,-2.288
9.394,-2.288
9.396,-2.288
9.398,-2.288
9.4,-2.288
9.402,-2.288
9.404,-2.288
9.406,-2.288
9.408,-2.288
9.41,-2.288
9.412,-2.288
9.414,-2.296
9.416,-2.288
9.418,-2.296
9.42,-2.296
9.422,-2.296
9.424,-2.288
9.426,-2.296
9.428,-2.296
9.43,-2.296
9.432,-2.296
9.434,-2.296
9.436,-2.296
9.438,-2.296
9.44,-2.296
9.442,-2.296
9.444,-2.296
9.446,-2.296
9.448,-2.304
9.45,-2.304
9.452,-2.304
9.454,-2.296
9.456,-2.304
9.458,-2.296
9.46,-2.296
9.462,-2.296
9.464,-2.304
9.466,-2.304
9.468,-2.312
9.47,-2.304
9.472,-2.304
9.474,-2.304
9.476,-2.304
9.478,-2.304
9.48,-2.304
9.482,-2.312
9.484,-2.312
9.486,-2.312
9.488,-2.312
